Unnamed: 0,pl_name,hostname,discoverymethod,disc_year,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_orbeccen,pl_eqt,st_mass,st_rad,st_teff,st_lum,st_spectype,sy_dist,pl_density,insolation,habitable_type,ESI,Bio_Class,v_esc,Atmosphere_Class,Adams_Score,Adams_Category,AstroBiom_Score,cluster_id,Planet_Type_ML
4396,HAT-P-46 b,HAT-P-46,Transit,2014,14.392,156.684,4.463129,0.0577,0.123,1458.0,1.284,1.396,6120.0,0.391,,290.736,0.0525607070983776,739.0066963669814,Too Hot (Hot Zone),0.0379252292031026,Extreme Environment,36.908514407577,Atmosphere Likely,0.0,Not Habitable,0.3792522920310265,0.0,Gas Giant (Jovian)
4397,TIC 393818343 b,TIC 393818343,Transit,2024,12.18416202,1379.37528638,16.24921,0.1291,0.6058,805.5,1.082,1.086,5756.0,0.06744,,93.7345,0.7625976179230175,70.07893859755447,Too Hot (Hot Zone),0.2014466421531721,Extreme Environment,119.0195222380231,Atmosphere Likely,0.0,Not Habitable,2.0144664215317216,0.0,Gas Giant (Jovian)
4398,Kepler-517 b,Kepler-517,Transit,2016,2.67,7.561591267556268,60.92832271,0.297893161645805,,497.6551381244524,0.95,0.98,5690.0,-0.0442089330674383,,289.907,0.3972641858513173,10.178177007428523,Too Hot (Hot Zone),0.4089967695141258,Extreme Environment,18.82460116067979,Atmosphere Likely,0.0,Not Habitable,4.089967695141258,1.0,Rocky / Super-Earth
4399,Kepler-924 b,Kepler-924,Transit,2016,3.07,10.081033396617464,61.0370117,0.3169350781986473,,585.8343120351358,1.14,1.23,6167.0,0.2929958665513021,,1053.04,0.3484094508616415,19.545880889821515,Too Hot (Hot Zone),0.3180119703727924,Extreme Environment,20.270205611470505,Atmosphere Likely,0.0,Not Habitable,3.1801197037279243,1.0,Rocky / Super-Earth
4400,Kepler-1009 b,Kepler-1009,Transit,2016,2.17,4.93295384167262,11.35011917,0.0829005607939295,,509.1828625313074,0.59,0.57,4027.0,-1.1154339202580037,,355.019,0.482756188978809,11.154526585485762,Too Hot (Hot Zone),0.4295673059733272,Extreme Environment,16.865470990178757,Atmosphere Likely,0.0,Not Habitable,4.295673059733272,1.0,Rocky / Super-Earth
4401,WASP-161 b,WASP-161,Transit,2018,12.811887,791.3967,5.4060425,0.0673,,1557.0,1.39,1.712,6400.0,0.64738,,343.08,0.37631795179894,980.2793893089014,Too Hot (Hot Zone),0.0640745835543084,Extreme Environment,87.915486297504,Atmosphere Likely,0.0,Not Habitable,0.6407458355430845,0.0,Gas Giant (Jovian)
4402,HATS-27 b,HATS-27,Transit,2016,16.8135,168.4499,4.637038,0.0611,0.581,1659.0,1.415,1.74,6438.0,0.66932,F,816.988,0.0354402170355189,1250.943167841847,Too Hot (Hot Zone),0.0263235808646705,Extreme Environment,35.40634767534827,Atmosphere Risk (Erosion),0.0,Not Habitable,0.2632358086467055,0.0,Gas Giant (Jovian)
4403,K2-238 b,K2-238,Transit,2018,14.5717,273.3338,3.20466,0.046,0.0,1587.0,1.19,1.59,5630.0,0.3577176780135753,G2 V,537.963,0.088341073973595,1076.9660542749366,Too Hot (Hot Zone),0.0394131520729128,Extreme Environment,48.44694250236103,Atmosphere Likely,0.0,Not Habitable,0.3941315207291284,0.0,Gas Giant (Jovian)
4408,Kepler-932 b,Kepler-932,Transit,2016,1.37,1.912689035777282,1.921437396,0.0288755607696578,,1386.4894427452166,0.87,0.84,5331.0,-0.2913168478090936,,465.612,0.7438453747024549,613.2284539791266,Too Hot (Hot Zone),0.1257041788276655,Extreme Environment,13.217116425615409,Atmosphere Risk (Erosion),0.0,Not Habitable,1.2570417882766551,1.0,Rocky / Super-Earth
4409,Kepler-552 b,Kepler-552,Transit,2016,3.95,16.942988536113795,5.263415765,0.0598040656810574,,1178.975184400526,1.03,1.04,5863.0,0.0594361053040374,,843.689,0.274915185794451,320.6082442072086,Too Hot (Hot Zone),0.1095939972384876,Extreme Environment,23.16707878959444,Atmosphere Risk (Erosion),0.0,Not Habitable,1.0959399723848764,1.0,Rocky / Super-Earth
