,pl_name,hostname,discoverymethod,disc_year,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_orbeccen,pl_eqt,st_mass,st_rad,st_teff,st_lum,st_spectype,sy_dist
115,Kepler-198 d,Kepler-198,Transit,2016,1.53,,1.31184443,,,,0.97,0.93,5636.0,,,495.358
116,G 192-15 b,G 192-15,Radial Velocity,2025,,1.03,2.27476,0.01723,0.0,453.6,0.132,,,,M5.0 V,9.53114
117,K2-368 d,K2-368,Transit,2022,1.948,,20.201085,,,,0.746,0.663,4663.0,,,206.608
118,CoRoT-23 b,CoRoT-23,Transit,2011,11.77,889.9,3.6313,0.048,0.16,1660.0,1.14,1.61,5900.0,,G0 V,1060.97
119,Kepler-327 d,Kepler-327,Transit,2014,1.73,,13.969457,0.09,,,,0.492,3799.0,,,241.987
120,Kepler-733 b,Kepler-733,Transit,2016,2.82,,20.83424726,,,,0.9,0.86,5418.0,,,916.706
121,Kepler-769 b,Kepler-769,Transit,2016,2.92,,7.42608998,,,,1.19,1.28,6186.0,,,1169.57
122,Kepler-913 b,Kepler-913,Transit,2016,2.06,,10.29672521,,,,0.63,0.61,4687.0,,,991.618
123,HD 62549 b,HD 62549,Radial Velocity,2022,,2707.58019923,14306.88519,11.842,0.15,,1.08,,,,,49.3305
124,MOA-2007-BLG-192L b,MOA-2007-BLG-192L,Microlensing,2008,,3.3,,0.62,,,0.06,,,,,1000.0
125,K2-104 b,K2-104,Transit,2016,1.79,,1.9741954,0.0242,,798.0,0.51,0.48,3712.0,,,189.289
126,Kepler-1092 b,Kepler-1092,Transit,2016,2.07,,58.6017925,,,,0.99,1.0,5862.0,,,981.233
127,Kepler-33 f,Kepler-33,Transit,2011,4.46,,41.02902,0.2535,0.0,,1.291,1.82,5904.0,0.556,,1209.16
128,Kepler-1263 b,Kepler-1263,Transit,2016,1.14,,4.55139967,,,,0.84,0.8,5213.0,,,664.83
129,HATS-31 b,HATS-31,Transit,2016,18.38276,279.6904,3.37796,0.0478,0.233,1823.0,1.275,1.87,6050.0,0.61909,,773.974
130,iot Dra c,iot Dra,Radial Velocity,2022,,4958.1231492,25000.0,19.4,0.455,,1.54,11.79,4504.0,1.72247,K2 III,31.32832
131,Kepler-1497 b,Kepler-1497,Transit,2016,1.66,,8.74199772,,,,0.96,0.95,5675.0,,,
132,HAT-P-12 b,HAT-P-12,Transit,2009,10.749,67.059,3.2130598,0.0384,0.0,963.0,0.733,0.701,4650.0,-0.678,K4,142.751
133,TrES-3 b,TrES-3,Transit,2007,14.975,607.03,1.30618581,0.02282,0.0,,0.928,0.829,5650.0,-0.20412,,231.337
134,CoRoT-2 b,CoRoT-2,Transit,2008,16.432,1102.82,1.7429935,0.02798,0.0143,,0.96,0.906,5625.0,,,213.283
135,WASP-5 b,WASP-5,Transit,2008,12.184,502.15,1.6284279,0.0267,0.038,1706.0,0.96,1.029,5700.0,,,309.137
136,TrES-5 b,TrES-5,Transit,2011,13.383546,568.9157,1.48224686,0.02459,,1480.0,0.901,0.868,5171.0,,,360.313
137,WASP-113 b,WASP-113,Transit,2016,15.793481,150.96925,4.54216874538,0.05885,0.0,1496.0,1.318,1.608,5890.0,,G1,435.156
138,WASP-114 b,WASP-114,Transit,2016,15.008851,562.24127,1.5487743,0.02851,0.012,2043.0,1.289,1.43,5940.0,,G0,523.337
139,Kepler-391 b,Kepler-391,Transit,2014,2.5,1100.0,7.4175,0.083,0.46,930.0,1.27,2.879,5038.0,0.66276,K2 III-IV,869.236
140,Kepler-338 b,Kepler-338,Transit,2014,2.44,,13.726976,0.117,,,,1.735,5923.0,,,552.798
141,Kepler-520 c,Kepler-520,Transit,2016,1.07,,5.21104261,,,,1.1,1.09,6112.0,,,623.901
142,Kepler-446 c,Kepler-446,Transit,2015,1.11,,3.036179,,0.0,,0.22,0.24,3359.0,,M4,96.339
143,HD 184010 c,HD 184010,Radial Velocity,2022,,95.3485221,484.3,1.334,0.0,,1.35,4.86,4971.0,1.11694,K0 III-IV,60.7993
144,HD 45364 b,HD 45364,Radial Velocity,2008,,60.16491745,225.79,0.6793,0.067,,0.82,0.89,5466.0,-0.19586,K0 V,34.354
145,GJ 163 d,GJ 163,Radial Velocity,2013,,29.4,603.95116,1.0304,0.373,,,,,,,15.1285
146,Kepler-347 c,Kepler-347,Transit,2014,1.75,,27.320871,0.183,,,,1.005,6088.0,,,1298.88
147,HD 81817 b,HD 81817,Radial Velocity,2020,,7668.5638041,1021.20159,3.233,0.097,,4.3,,,,,269.126
148,TOI-2096 b,TOI-2096,Transit,2023,1.243,,3.1190633,0.025,0.15,445.0,0.231,0.235,3300.0,-2.22768,M4,48.4809
149,CoRoT-28 b,CoRoT-28,Transit,2015,10.704595,153.82972,5.20851,0.0603,0.047,,1.01,1.78,5150.0,,G8/9 IV,766.183
150,K2-275 c,K2-275,Transit,2018,2.21,,8.4388385,0.0881,,653.0,0.77,0.69,4841.0,,,123.438
