,pl_name,hostname,discoverymethod,disc_year,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_orbeccen,pl_eqt,st_mass,st_rad,st_teff,st_lum,st_spectype,sy_dist
2810,Kepler-251 c,Kepler-251,Transit,2014,2.77,,16.514043,0.122,,,,0.89,5526.0,,,924.625
2811,Kepler-1186 b,Kepler-1186,Transit,2016,2.23,,16.07677615,,,,0.95,0.93,5635.0,,,1337.25
2812,HD 219134 c,HD 219134,Radial Velocity,2015,1.511,4.36,6.76458,0.0653,0.062,782.0,0.81,0.778,4699.0,-0.57741,,6.53127
2813,Kepler-1979 b,Kepler-1979,Transit,2023,29.33,,18.5084526,0.1383,0.0,683.0,1.028,0.938,5942.0,,,1076.27
2814,G 261-6 b,G 261-6,Radial Velocity,2025,,1.37,5.4536,0.02971,0.0,322.3,0.118,,,,M5.5 V,10.6267
2815,Kepler-83 d,Kepler-83,Transit,2014,1.94,,5.169796,0.051,,,,0.594,4648.0,,,400.409
2816,Kepler-801 b,Kepler-801,Transit,2016,2.0,,11.41928253,,,,0.67,0.63,4435.0,,,440.426
2817,Kepler-868 b,Kepler-868,Transit,2016,2.05,,5.03251791,,,,0.93,0.89,5614.0,,,1593.13
2818,KOI-94 b,KOI-94,Transit,2013,1.71,10.5,3.743208,0.05119,0.25,1486.0,1.277,1.52,6182.0,0.479,,477.052
2819,TOI-411 c,HD 22946,Transit,2022,2.328,9.72,9.573083,0.1017,,931.0,1.098,1.117,6169.0,,,62.7792
2820,HD 23596 b,HD 23596,Radial Velocity,2003,,3786.607641,1535.11912,2.694,0.282,,1.1,,,,,52.0018
2821,HD 99706 c,HD 99706,Radial Velocity,2018,,1808.4527,1278.0,,0.411,,1.72,,,,,146.6
2822,PSR B0329+54 b,PSR B0329+54,Pulsar Timing,2017,,1.97,10140.0,10.26,0.236,,1.44,,,,,
2823,KELT-17 b,KELT-17,Transit,2016,17.093725,416.3573,3.0801716,0.04881,,2087.0,1.635,1.645,7454.0,0.87564,A,226.5
2824,GJ 1061 c,GJ 1061,Radial Velocity,2020,,1.74,6.689,0.035,0.29,,0.12,0.156,2953.0,-2.76955,M5.5 V,3.67278
2825,55 Cnc f,55 Cnc,Radial Velocity,2007,,48.5,260.58,0.802,0.063,,1.015,0.98,5198.0,,G8 V,12.5855
2826,HD 221585 b,HD 221585,Radial Velocity,2016,,511.7063,1173.0,2.306,0.123,,1.19,,5620.0,0.4216,G8 IV,55.8535
2827,EPIC 201497682 b,EPIC 201497682,Transit,2019,0.692,,2.13174,,,,0.78,,,,,253.026
2828,Kepler-1509 b,Kepler-1509,Transit,2016,1.85,,25.4338197,,,,1.0,0.99,5780.0,,,2002.96
2829,Kepler-758 b,Kepler-758,Transit,2016,2.48,,12.1097104,,,,1.16,1.42,6228.0,,,1502.32
2830,WASP-157 b,WASP-157,Transit,2016,11.19,,3.951623,0.0499,,1193.0,1.06,1.1,5772.0,,,334.037
2831,TOI-2447 b,TOI-2447,Transit,2024,9.60609646,124.90656395,69.33684,0.347,0.17,414.0,1.034,1.006,5730.0,,,148.987
2832,Kepler-80 b,Kepler-80,Transit,2012,2.67,6.93,7.05246,0.0648,,,0.73,0.678,4540.0,-0.76955,K5,369.451
2833,TOI-5005 b,TOI-5005,Transit,2024,6.25,32.7,6.3085044,0.06614,,1040.0,0.97,0.93,5749.0,,G2 V,207.891
2834,Kepler-1059 b,Kepler-1059,Transit,2016,1.73,,3.764191048,,,,0.75,0.72,4906.0,,,713.167
2835,Kepler-1504 b,Kepler-1504,Transit,2016,2.13,,82.304003,,,,0.85,0.81,5393.0,,,2435.94
2836,Kepler-1335 b,Kepler-1335,Transit,2016,1.45,,6.26406846,,,,0.77,0.74,4903.0,,,621.853
2837,Kepler-355 c,Kepler-355,Transit,2014,2.71,,25.762294,0.179,,,,1.066,6184.0,,,1432.17
2838,Kepler-1426 b,Kepler-1426,Transit,2016,1.56,,14.2563227,,,,1.02,1.02,5831.0,,,1697.81
2839,KOI-351 b,KOI-351,Transit,2013,1.31,,7.008151,0.074,,,1.2,1.2,6080.0,,,848.254
2840,HD 148156 b,HD 148156,Radial Velocity,2009,,270.144,1027.0,2.45,0.52,,1.22,1.21,6308.0,0.25042,,57.1289
2841,HD 151450 c,HD 151450,Radial Velocity,2022,,1636.18063924,18144.76236,14.131,0.138,,1.14,,,,,43.6002
2842,Kepler-286 d,Kepler-286,Transit,2014,1.33,,5.914323,0.061,,,,0.863,5580.0,,,1226.85
2843,TOI-2266 b,TOI-2266,Transit,2024,1.54,,2.326318,0.02,,550.0,0.23,0.24,3200.0,,M5.0+0.5-0.5,51.6004
2844,Kepler-54 b,Kepler-54,Transit,2012,2.1,,8.0109434,,,,0.51,0.5,3705.0,,,271.701
2845,Kepler-909 b,Kepler-909,Transit,2016,1.47,,13.93290318,,,,1.17,1.23,6154.0,,,309.596
2846,Kepler-1432 b,Kepler-1432,Transit,2016,2.22,,23.9109011,,,,1.09,1.13,6031.0,,,2171.87
2847,Kepler-497 b,Kepler-497,Transit,2016,6.04,,3.573203671,,,,1.09,1.11,5834.0,,,1291.98
2848,Kepler-127 b,Kepler-127,Transit,2014,1.4,,14.435889,0.125,,,,1.359,6106.0,,,352.794
2849,Kepler-27 c,Kepler-27,Transit,2011,4.9,4385.87,31.3309,0.191,,,0.65,0.59,5400.0,,,1044.36
2850,Kepler-19 d,Kepler-19,Radial Velocity,2017,,22.5,62.95,,0.05,,0.936,0.859,5544.0,,,218.562
2851,CoRoT-4 b,CoRoT-4,Transit,2008,13.34,228.83,9.20205,0.09,0.0,1074.0,1.16,1.17,6190.0,,,726.412
2852,TOI-3071 b,TOI-3071,Transit,2024,7.16,68.2,1.266938,0.0249,0.09,2155.0,1.29,1.31,6177.0,,,485.219
2853,Kepler-1436 b,Kepler-1436,Transit,2016,1.31,,9.705716,,,,1.06,1.09,5972.0,,,2530.62
2854,OGLE-TR-113 b,OGLE-TR-113,Transit,2004,12.251,400.449,1.4324752,0.02289,,,0.779,0.774,4790.0,-0.529,,566.459
2855,Kepler-33 b,Kepler-33,Transit,2011,1.74,,5.66793,0.0677,0.0,,1.291,1.82,5904.0,0.556,,1209.16
2856,K2-342 b,K2-342,Transit,2021,2.03,,11.561052,,,861.0,1.01,1.09,5920.0,,,208.357
2857,Kepler-836 b,Kepler-836,Transit,2016,2.73,,11.36112327,,,,1.03,1.04,5895.0,,,980.035
2858,Kepler-1200 b,Kepler-1200,Transit,2016,1.06,,1.118549717,,,,0.74,0.7,4612.0,,,588.715
2859,Kepler-521 b,Kepler-521,Transit,2016,3.18,,22.20813214,,,,1.34,1.46,6406.0,,,830.638
2860,Kepler-370 c,Kepler-370,Transit,2014,1.91,,19.02293,0.14,,,,0.9,5852.0,,,1167.94
2861,Kepler-1090 b,Kepler-1090,Transit,2016,2.25,,198.680179,,,,0.86,0.82,5321.0,,,858.77
2862,HIP 5158 c,HIP 5158,Radial Velocity,2011,,4780.1632,9017.76,7.7,0.14,,0.78,0.754089,4813.0,-0.5608,,51.6026
2863,K2-384 b,K2-384,Transit,2022,1.076,,2.231527,,,,0.33,0.348,3623.0,,M4 V,82.6603
2864,Kepler-403 c,Kepler-403,Transit,2014,1.75,,54.280749,0.297,,,,1.329,6090.0,,,840.269
2865,Kepler-133 b,Kepler-133,Transit,2014,1.76,,8.129976,0.083,,,,1.425,5736.0,,,653.6
2866,24 Sex c,24 Sex,Radial Velocity,2010,,273.32,883.0,2.08,0.29,,1.54,4.9,5098.0,1.164,,72.0691
2867,Kepler-305 c,Kepler-305,Transit,2013,3.3,6.0,8.291,,,,0.76,0.8,,,,868.477
2868,Kepler-195 c,Kepler-195,Transit,2014,1.55,,34.096863,0.197,,,,0.775,5329.0,,,652.051
2869,K2-212 b,K2-212,Transit,2018,2.65,,9.795647,,,,0.622,0.678,4349.0,,,109.218
2870,Kepler-1551 b,Kepler-1551,Transit,2016,2.66,,24.4973698,,,,1.14,1.22,6136.0,,,1463.72
2871,TOI-2076 c,TOI-2076,Transit,2021,3.69441587,55.0,21.015327,0.142,0.0,543.16,0.8557,0.796,5192.0,-0.37779,,41.9091
2872,TOI-1346 b,TOI-1346,Transit,2025,2.39,,1.7622538,,,1324.0,0.82,0.78,5099.0,,,115.45
2873,Kepler-52 b,Kepler-52,Transit,2012,2.1,135.0,7.8773565,,,,0.54,0.52,4075.0,,,321.542
2874,K2-14 b,K2-14,Transit,2015,4.81,,8.36802,0.0627,,488.0,0.47,0.45,3789.0,,,364.048
2875,Kepler-496 b,Kepler-496,Transit,2016,2.32,,8.30864937,,,,0.86,0.82,5293.0,,,605.274
2876,HIP 29442 c,HD 42813,Radial Velocity,2023,1.551,4.5,3.5379559,0.04518,,1123.0,0.901,0.98,5289.0,,,68.192
2877,Kepler-46 c,Kepler-46,Transit Timing Variations,2012,,119.499,57.011,0.2799,0.0146,455.0,0.902,0.938,5155.0,-0.255,,777.06
2878,Kepler-1488 c,Kepler-1488,Transit,2021,1.65156749,,6.158269882,,,,1.003,1.524,5710.0,,,905.825
2879,Teegarden's Star b,Teegarden's Star,Radial Velocity,2019,,1.16,4.90634,0.0259,0.03,277.0,0.097,0.12,3034.0,-3.14146,,3.83078
2880,Kepler-1461 b,Kepler-1461,Transit,2016,2.03,,29.3494775,,,,0.79,0.74,4919.0,,,679.106
2881,K2-348 b,K2-348,Transit,2021,3.26,,4.688418,,,908.0,0.83,0.85,5077.0,,,201.856
2882,Kepler-26 e,Kepler-26,Transit,2014,2.41,,46.827915,0.22,,,,0.571,4486.0,,,335.307
2883,TOI-5300 b,TOI-5300,Transit,2025,9.86390302,190.6970442,2.262196,0.0295,0.0,1043.0,0.67,0.65,4610.0,-0.76195,K4 V,162.51
2884,WASP-181 b,WASP-181,Transit,2019,13.271456,95.03117,4.5195064,0.05427,,1186.0,1.04,0.965,5839.0,,G2,437.495
2885,GJ 674 b,GJ 674,Radial Velocity,2007,,11.09,4.6938,0.039,0.2,,0.35,,3600.0,-1.796,M2.5,4.54896
2886,OGLE-2012-BLG-0724L b,OGLE-2012-BLG-0724L,Microlensing,2016,,150.0,,1.6,,,0.29,,,,M V,6700.0
2887,Kepler-1917 b,Kepler-1917,Transit,2021,1.88971288,,12.90240002,,,,0.882,0.788,5530.0,,,909.037
2888,Kepler-339 c,Kepler-339,Transit,2014,1.15,,6.988055,0.069,,,,0.802,5631.0,,,616.637
2889,K2-157 c,K2-157,Radial Velocity,2025,,30.8,25.942,0.165,0.2,587.0,0.89,0.86,5334.0,,G9 V,298.373
2890,Kepler-1299 b,Kepler-1299,Transit,2016,2.98,,19.9400874,,,,0.94,0.91,5609.0,,,1404.94
2891,Kepler-1943 b,Kepler-1943,Transit,2021,1.54869189,,4.850180149,,,,1.055,0.973,6032.0,,,1004.55
2892,Kepler-487 c,Kepler-487,Transit,2016,2.68,,38.6519976,,,,0.91,0.88,5444.0,,,872.343
2893,HD 11505 b,HD 11505,Radial Velocity,2022,,2510.52658689,32669.22247,20.247,0.144,,1.03,,,,,38.9679
2894,HD 39855 b,HD 39855,Radial Velocity,2019,,8.5,3.2498,0.041,0.14,,0.87,,5576.0,,G8 V,23.2599
2895,HD 3651 b,HD 3651,Radial Velocity,2003,,72.46524,62.25,0.295,0.645,,0.799,,5221.0,,,11.1336
2896,Kepler-1319 b,Kepler-1319,Transit,2016,1.34,,2.886762645,,,,0.56,0.54,3655.0,,,103.917
2897,HD 221287 b,HD 221287,Radial Velocity,2007,,982.05,456.1,1.25,0.08,,1.25,,6304.0,0.22011,,55.9231
2898,Kepler-1042 b,Kepler-1042,Transit,2016,2.19,,10.13202575,,,,0.75,0.72,4815.0,,,
2899,HD 1690 b,HD 1690,Radial Velocity,2010,,2793.7257,533.0,1.36,0.64,,1.86,21.66,4374.0,,,752.615
2900,GJ 3021 b,GJ 3021,Radial Velocity,2000,,1071.04,133.71,0.49,0.511,350.0,0.9,0.9,5540.0,-0.18,G6 V,17.5559
2901,Kepler-132 b,Kepler-132,Transit,2014,1.21,,6.178196,0.067,,,,1.178,6003.0,,,349.549
2902,Kepler-94 c,Kepler-94,Radial Velocity,2014,,3126.0,820.3,,,,0.81,0.76,4781.0,,,191.904
2903,HD 27442 b,HD 27442,Radial Velocity,2000,,495.8,428.1,1.271,0.06,,1.23,,4846.0,,,18.2704
2904,Kepler-549 c,Kepler-549,Transit,2016,2.93,,117.040498,,,,0.88,0.84,5360.0,,,635.145
2905,Kepler-276 b,Kepler-276,Transit,2014,2.87,,14.12841,0.119,,,,1.046,6105.0,,,1144.86
2906,Kepler-250 d,Kepler-250,Transit,2014,2.18,,17.648312,0.127,,,,0.805,5160.0,,,760.585
2907,Kepler-654 b,Kepler-654,Transit,2016,2.07,,13.72465129,,,,1.04,1.11,5865.0,,,974.124
2908,Kepler-1266 c,Kepler-1266,Transit,2021,1.68023962,,4.86631012,,,,0.791,0.831,4996.0,,,849.312
2909,Kepler-339 b,Kepler-339,Transit,2014,1.42,,4.977656,0.055,,,,0.802,5631.0,,,616.637
2910,K2-111 c,K2-111,Radial Velocity,2020,,11.08,15.6805,0.11569,0.071,,0.84,1.25,5775.0,,,200.394
2911,TOI-1268 b,TOI-1268,Transit,2022,9.1,96.4,8.1577094,0.0711,0.105,918.9,0.96,0.92,5300.0,,K1-K2,109.557
2912,HD 56414 b,HD 56414,Transit,2022,3.71,,29.04992,0.229,0.68,1133.0,1.89,1.751,8500.0,1.15806,,272.217
2913,Kepler-408 b,Kepler-408,Transit,2014,0.82,5.0,2.46502,,,,1.08,1.23,6104.0,,,88.7832
2914,OGLE-2014-BLG-1722L c,OGLE-2014-BLG-1722L,Microlensing,2018,,83.7,,1.7,,,0.4,,,,,6400.0
2915,Kepler-1115 b,Kepler-1115,Transit,2016,1.7,,23.5540725,,,,1.6,1.73,8480.0,,,983.245
2916,OGLE-2018-BLG-0516L b,OGLE-2018-BLG-0516L,Microlensing,2022,,20.1,,2.2,,,0.47,,,,,7000.0
2917,HD 67087 c,HD 67087,Radial Velocity,2015,,1540.0,2374.0,3.86,0.76,,1.36,1.55,6330.0,0.54,F8 V,76.5217
2918,GJ 3082 b,GJ 3082,Radial Velocity,2020,,8.2,11.949,0.079,0.22,,0.47,,,,,16.6186
2919,K2-101 b,K2-101,Transit,2016,2.0,,14.6762429,0.1124,,618.0,0.82,0.76,4927.0,,,188.33
2920,CoRoT-26 b,CoRoT-26,Transit,2013,14.12,165.26,4.20474,0.0526,0.0,1600.0,1.09,1.79,5590.0,,G5,1045.18
2921,TOI-451 d,TOI-451,Transit,2020,4.07,,16.364988,0.1208,0.0,722.0,0.95,0.879,5550.0,-0.1891,,123.739
2922,TOI-431 c,TOI-431,Radial Velocity,2021,,2.83,4.8494,0.052,0.0,867.0,0.78,0.731,4850.0,,,32.5686
2923,K2-224 c,K2-224,Transit,2018,2.41,,10.09489,0.0886,,764.0,0.91,0.84,5620.0,,,275.255
2924,Kepler-28 b,Kepler-28,Transit,2011,1.959,1.63,5.91,,,,0.684,0.664,4499.3,,,438.359
2925,K2-35 c,K2-35,Transit,2016,1.93,,5.608352,0.055,0.12,,0.701968,0.619575,4402.71,,,252.596
2926,Kepler-59 b,Kepler-59,Transit,2012,1.1,,11.8681707,,,,1.04,0.94,6074.0,,,1163.22
2927,Kepler-1377 b,Kepler-1377,Transit,2016,1.25,,0.740928422,,,,0.86,0.82,5218.0,,,1146.1
2928,GJ 581 b,GJ 581,Radial Velocity,2005,,20.5,5.3686,0.0399,0.0342,,0.295,0.302,3500.0,-1.90781,M3.0 V,6.2981
2929,HD 17092 b,HD 17092,Radial Velocity,2007,,3219.6179,359.89999,1.31,0.17,,6.73,13.58,4326.0,,,228.422
2930,Kepler-1132 b,Kepler-1132,Transit,2016,2.35,,62.8916228,,,,0.87,0.83,5298.0,,,867.931
2931,Kepler-390 b,Kepler-390,Transit,2014,0.82,,6.738088,0.065,,,,0.776,5166.0,,,435.277
2932,HAT-P-56 b,HAT-P-56,Transit,2015,16.92559,734.1873,2.79083,,,,1.42,1.47,6566.0,,,320.639
2933,Kepler-5 b,Kepler-5,Transit,2009,15.984034,670.93913,3.5484657,0.0538,,1750.0,1.374,1.793,6297.0,,,899.777
2934,Kepler-1029 b,Kepler-1029,Transit,2016,1.26,,4.417696479,,,,0.82,0.77,5030.0,,,366.656
2935,Kepler-434 b,Kepler-434,Transit,2015,12.67,908.96,12.8747099,0.1143,0.131,1000.0,1.198,1.38,5977.0,0.33,,1222.54
2936,Kepler-713 b,Kepler-713,Transit,2016,2.48,,7.411141,,,,0.98,0.99,5785.0,,,1089.87
2937,K2-133 b,K2-133,Transit,2017,1.34,,3.07133,0.03194,,,0.461,0.455,3655.0,-1.47886,M1.5 V,75.1703
2938,KMT-2021-BLG-0712L b,KMT-2021-BLG-0712L,Microlensing,2023,,38.19,,2.22,,,0.22,,,,,3090.0
2939,HD 191806 b,HD 191806,Radial Velocity,2016,,2966.61035094,1603.38923,2.749,0.213,,1.07,,,,,65.6668
2940,Kepler-721 b,Kepler-721,Transit,2016,2.64,,5.392025388,,,,0.82,0.78,5075.0,,,926.598
2941,Kepler-93 c,Kepler-93,Radial Velocity,2014,,954.0,1460.0,,,,0.91,0.92,5669.0,,,95.9115
2942,Kepler-1634 b,Kepler-1634,Transit,2016,3.19,,374.876239,,,,0.92,0.89,5474.0,,,617.339
2943,Kepler-111 c,Kepler-111,Transit,2014,7.0840758,222.4798849,224.77833,0.751,0.176,352.2,1.118,1.145,5914.0,0.15836,,657.223
2944,HD 2638 b,HD 2638,Radial Velocity,2005,,133.4886,3.4442,0.04,0.0,,0.77,0.94,5186.0,,,54.9621
2945,Kepler-1253 b,Kepler-1253,Transit,2016,1.33,,68.8861915,,,,0.97,1.1,5850.0,,,514.524
2946,HATS-7 b,HATS-7,Transit,2015,6.310667,38.1396,3.185315,0.04012,0.17,1084.0,0.849,0.815,4985.0,-0.43415,K2,240.707
2947,Kepler-237 b,Kepler-237,Transit,2014,1.41,,4.715106,0.05,,,,0.725,4861.0,,,657.822
2948,GJ 180 b,GJ 180,Radial Velocity,2014,,6.49,17.133,0.092,0.07,,0.43,,,,,11.9407
2949,BD+20 274 b,BD+20 274,Radial Velocity,2012,,1334.886,578.2,1.3,0.21,,0.8,17.3,4296.0,1.96,K5 III,1322.51
2950,TOI-1782.02,TOI-1782,Transit,2024,1.839,,1.829024227,0.025739,,,0.68,0.669,4336.0,,,95.2649
2951,KMT-2017-BLG-2509L b,KMT-2017-BLG-2509L,Microlensing,2021,,664.26137063,,2.14,,,0.46,,,,,7040.0
2952,Kepler-310 b,Kepler-310,Transit,2014,1.19,,13.930698,0.111,,,,0.876,5797.0,,,602.268
2953,Kepler-1680 b,Kepler-1680,Transit,2020,1.35954736,,8.77424,,,,0.834,0.723259,5021.0,-0.52356,,310.315
2954,Kepler-1090 c,Kepler-1090,Transit,2021,3.29265785,,42.42720032,,,,0.869,1.013,5330.0,,,858.77
2955,Kepler-270 b,Kepler-270,Transit,2014,2.01,,11.476094,0.107,,,,1.461,6067.0,,,948.781
2956,Kepler-1593 b,Kepler-1593,Transit,2016,3.17,,174.509835,,,,0.81,0.77,4995.0,,,638.249
2957,Kepler-257 b,Kepler-257,Transit,2014,2.61,,2.382667,0.034,,,,1.037,5180.0,,,780.256
2958,Kepler-1729 b,Kepler-1729,Transit,2021,3.89404186,,4.220970154,,,,0.544,0.517,3837.0,,,576.181
2959,Kepler-138 e,Kepler-138,Transit Timing Variations,2022,,0.43,38.23,0.1803,0.112,292.0,0.535,0.535,3841.0,-1.25181,,66.8624
2960,HD 142 b,HD 142,Radial Velocity,2001,,396.96768034,351.43394,1.039,0.158,,1.21,,,,,26.1853
2961,K2-147 b,K2-147,Transit,2018,1.47286006,,0.961939,0.01575,0.38,1077.0,0.563,0.578,3690.0,-1.25181,,90.5494
2962,TOI-654.01,TOI-654,Transit,2024,2.378,8.71,1.527561,0.01944,0.0,794.0,0.419,0.43,3521.0,-1.60906,M2 V,57.7553
2963,HAT-P-41 b,HAT-P-41,Transit,2012,22.97845,378.2177,2.69405,,0.0,,2.56,2.05,6390.0,,,348.185
2964,TOI-2260 b,TOI-2260,Transit,2022,1.62,,0.3524728,0.0097,,2609.0,0.99,0.94,5534.0,,G V,101.251
2965,Kepler-474 b,Kepler-474,Transit,2016,3.06,,5.660672935,,,,0.99,1.08,5785.0,,,841.496
2966,TOI-5027 b,TOI-5027,Transit,2025,10.76062147,642.01338214,10.24368,0.093,0.385,1056.0,1.02,0.92,5909.0,-0.03058,,204.429
2967,Kepler-728 b,Kepler-728,Transit,2016,3.34,,5.743477265,,,,0.95,0.93,5660.0,,,1765.23
2968,TOI-5795 b,TOI-5795,Transit,2025,5.62,23.66,6.1406325,0.064,0.25,1136.78,0.901,1.082,5715.0,0.05308,G3 V,156.53
2969,HD 143361 b,HD 143361,Radial Velocity,2008,,1122.57556,1039.15,1.988,0.197,,0.968,0.916,5507.0,,,68.5146
2970,Kepler-14 b,Kepler-14,Transit,2011,12.733,2669.66,6.790123,,0.035,,1.512,2.048,6395.0,0.799,,
2971,OGLE-2017-BLG-1691L b,OGLE-2017-BLG-1691L,Microlensing,2022,,14.62010672,,2.41,,,0.45,,,,,7290.0
2972,GJ 9689 b,GJ 9689,Radial Velocity,2020,,9.65,18.27,0.1139,0.29,453.04,0.59,0.57,3836.0,-1.2,M0.5,30.6203
2973,Kepler-124 d,Kepler-124,Transit,2014,1.11,,30.950851,0.17,,,,0.636,4984.0,,,420.046
2974,Kepler-150 f,Kepler-150,Transit,2017,3.64,,637.2093,1.24,,,0.97,0.905339,5528.0,-0.16141,,891.092
2975,Kepler-1541 b,Kepler-1541,Transit,2016,1.16,,8.40691199,,,,0.86,0.81,5282.0,,,416.692
2976,OGLE-2018-BLG-0799L b,OGLE-2018-BLG-0799L,Microlensing,2022,,82.63538582,,1.28,,,0.093,,,,,4050.0
2977,YZ Cet d,YZ Cet,Radial Velocity,2017,,1.09,4.65626,0.02851,0.07,356.7,0.142,0.157,3151.0,-2.65857,M4.5 V,3.71207
2978,Kepler-425 b,Kepler-425,Transit,2014,10.962,79.45,3.79701816,0.0464,0.33,1070.0,0.93,0.86,5170.0,-0.323,K1 V,646.647
2979,HD 175607 b,HD 175607,Radial Velocity,2015,,8.98,29.01,,0.11,,0.71,0.7,5392.0,,G6 V,40.3303
2980,HD 179079 b,HD 179079,Radial Velocity,2008,,25.74423,14.479,0.1214,0.049,,1.14,1.63,5646.0,0.38,G5 IV,69.7116
2981,HD 215152 b,HD 215152,Radial Velocity,2018,,1.819,5.75999,0.057638,0.0,,0.77,0.73,4935.0,,K3 V,21.5974
2982,TAP 26 b,TAP 26,Radial Velocity,2017,,527.5978,10.79,0.0968,,,1.04,1.17,4620.0,-0.25,,121.402
2983,K2-127 b,K2-127,Transit,2017,8.37,,3.588163,0.0411,,809.0,0.72,0.66,4575.0,,,709.999
2984,OGLE-TR-56 b,OGLE-TR-56,Transit,2002,15.278,441.77,1.2119189,0.02383,,2212.0,1.228,1.363,6050.0,0.35,,
2985,Kepler-734 b,Kepler-734,Transit,2016,3.56,,6.104852856,,,,0.85,0.78,5326.0,,,1157.21
2986,K2-199 b,K2-199,Transit,2018,1.73,6.9,3.2253993,0.0382,0.02,913.0,0.711,0.682,4491.0,-0.73283,,107.518
2987,HD 40307 c,HD 40307,Radial Velocity,2009,,6.6,9.6184,0.0799,0.06,,0.77,,4956.0,-0.639,K2.5 V,12.9363
2988,HD 181433 d,HD 181433,Radial Velocity,2008,,171.0,2172.0,3.0,0.48,,0.78,,4962.0,-0.511,K3 IV,26.8762
2989,WASP-80 b,WASP-80,Transit,2012,11.197791,170.99254,3.06785234,0.0344,0.002,825.0,0.577,0.586,4143.0,,,49.7876
2990,HD 7924 d,HD 7924,Radial Velocity,2015,,6.44,24.451,0.1551,0.21,499.0,0.832,0.7821,5075.0,,K0.5 V,16.9922
2991,HD 10180 f,HD 10180,Radial Velocity,2010,,22.947326,122.744,0.4929,0.119,,1.06,1.109,5911.0,,,38.9607
2992,HD 80606 b,HD 80606,Radial Velocity,2001,11.56766808,1323.46926959,111.436765,0.4603,0.93183,,1.05,1.05,5565.0,,,66.4711
2993,BD-08 2823 b,BD-08 2823,Radial Velocity,2009,,12.7132,5.6,0.06,0.15,,0.5,0.71,4816.0,,,41.3342
2994,HD 87883 b,HD 87883,Radial Velocity,2009,,2005.49724817,3006.0,3.77,0.72,,0.8,,,-0.47108,K0,18.2912
2995,TOI-333 b,TOI-333,Transit,2025,4.26,20.1,3.7852503,0.049,0.0,1445.0,1.2,1.1,6241.0,,,352.269
2996,HD 206893 c,HD 206893,Imaging,2022,16.36511182,4036.4207689,2090.0,3.53,0.41,1181.9,1.32,,,,F5 V,40.7583
2997,NGTS-15 b,NGTS-15,Transit,2021,12.32987877,238.68913366,3.27623,0.0441,0.0,1146.0,0.995,0.954,5600.0,,G6 V,786.485
2998,HD 204313 b,HD 204313,Radial Velocity,2010,,1466.7780983,2041.11539,3.185,0.1,,1.03,,,,,47.7945
2999,HD 4203 b,HD 4203,Radial Velocity,2001,,708.7609,431.88,1.17,0.52,,1.25,1.42,5596.0,,,81.3795
3000,Kepler-1018 b,Kepler-1018,Transit,2016,2.58,,49.1013514,,,,0.91,0.88,5518.0,,,1010.01
3001,HD 219134 d,HD 219134,Radial Velocity,2015,1.61,16.17,46.859,0.237,0.138,410.5,0.81,0.778,4699.0,-0.57741,,6.53127
3002,WASP-6 b,WASP-6,Transit,2009,12.5428494,148.42586607,3.3610026,,,1167.0,0.854,0.79,5438.0,,,197.119
3003,TOI-5542 b,TOI-5542,Transit,2022,11.30986153,419.53349724,75.12375,0.332,0.018,441.0,0.89,1.058,5700.0,1.057,G3 V,348.849
3004,HD 134606 b,HD 134606,Radial Velocity,2024,,9.09,12.089,0.1046,0.092,,1.046,1.158,5576.0,0.06483,,26.7909
3005,DMPP-1 d,DMPP-1,Radial Velocity,2019,,3.35,2.882,0.0422,0.07,1632.0,1.21,1.26,6196.0,,F8 V,62.5388
3006,K2-97 b,K2-97,Transit,2016,13.45077684,174.48779544,8.407115,0.0854,0.207,1566.0,1.17,4.14,4673.0,0.86688,,878.43
3007,HIP 29442 d,HD 42813,Radial Velocity,2023,1.538,5.14,6.429575,0.0673,,920.0,0.901,0.98,5289.0,,,68.192
3008,GJ 9714 b,GJ 9714,Radial Velocity,2022,,2988.54051102,19240.75467,12.319,0.155,,0.67,,,,,20.5121
3009,TIC 139270665 b,TIC 139270665,Transit,2024,7.22979255,147.15455244,23.624,0.163,0.105,703.0,1.035,1.016,5844.0,0.03222,G2,189.875
3010,HD 22496 b,HD 22496,Radial Velocity,2021,,5.57,5.09071,0.051,,573.0,0.684,0.674,4385.0,-1.17393,,13.5956
3011,HATS-36 b,HATS-36,Transit,2018,12.92,,4.175186,0.0523,,1203.0,1.1,1.1,5950.0,,,856.436
3012,Kepler-727 b,Kepler-727,Transit,2016,2.53,,5.154484417,,,,0.89,0.86,5441.0,,,831.842
3013,K2-268 c,K2-268,Transit,2018,2.69,,9.327527,,,696.0,0.84,0.78,5106.0,,,327.783
3014,2MASS J22501512+2325342 b,2MASS J22501512+2325342,Imaging,2018,,9534.85221,,518.0,,1600.0,,,,,M3,57.2309
3015,8 UMi b,8 UMi,Radial Velocity,2015,,524.41687155,93.31,0.462,0.062,,1.51,10.73,4847.0,1.72346,,162.552
3016,HD 28109 d,HD 28109,Transit,2022,3.11,5.8,84.2899,,0.0054,561.0,1.227,1.425,6189.0,0.43297,F8,139.611
3017,HIP 65891 b,HIP 65891,Radial Velocity,2015,,1871.37366042,1079.55726,2.794,0.128,,2.49,,,,,150.292
