Unnamed: 0,pl_name,hostname,discoverymethod,disc_year,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_orbeccen,pl_eqt,st_mass,st_rad,st_teff,st_lum,st_spectype,sy_dist,pl_density,insolation,habitable_type,ESI,Bio_Class,v_esc,Atmosphere_Class,Adams_Score,Adams_Category,AstroBiom_Score
586,Kepler-127 c,Kepler-127,Transit,2014,2.66,7.50336669851212,29.393195,0.2,,767.5116662606985,,1.359,6106.0,0.3623559632828479,,352.794,0.39866789365040795,57.58322336661084,Too Hot (Hot Zone),0.23649721680962146,Extreme Environment,18.787201025636087,Atmosphere Likely,0.0,Not Habitable,2.3649721680962146
588,K2-397 b,K2-397,Transit,2022,2.417,6.159562975826531,3.572326,0.04475282311703829,,1206.8652299284195,0.937,0.966,5387.0,-0.1517679950179061,,199.354,0.4362344391734737,352.0392857982756,Too Hot (Hot Zone),0.1282979214960859,Extreme Environment,17.85712092974064,Atmosphere Risk (Erosion),0.0,Not Habitable,1.282979214960859
589,TOI-1194 b,TOI-1194,Transit,2023,8.71664516,120.0,2.3106446,0.034,0.0,1264.29,0.9835,0.9608,5394.0,-0.1512,,149.667,0.18118954950947153,610.7200327799889,Too Hot (Hot Zone),0.07686313460945667,Extreme Environment,41.50407646656292,Atmosphere Likely,0.0,Not Habitable,0.7686313460945666
590,TOI-3919 b,TOI-3919,Transit,2024,12.31866979,1233.17421916,7.433234,0.0795,0.259,1198.0,1.208,1.319,6100.0,0.33606,,604.591,0.6596795105953481,343.02497605275386,Too Hot (Hot Zone),0.11026384386783541,Extreme Environment,111.91933640304063,Atmosphere Likely,0.0,Not Habitable,1.102638438678354
591,Kepler-1610 c,Kepler-1610,Transit,2023,2.09,4.5656366878100325,44.9851885,0.2323,0.0,433.0,0.825,0.8,5295.0,-0.3454663182748101,,864.331,0.5001064906095545,8.364409028453965,Too Hot (Hot Zone),0.5247421169038209,Extreme Environment,16.533025920422165,Atmosphere Likely,0.0,Not Habitable,5.247421169038208
592,Kepler-904 b,Kepler-904,Transit,2016,1.77,3.2420889703022504,3.021668632,0.0429790756400016,,1601.9193165307354,1.16,1.25,6160.0,0.3050327246411021,,978.125,0.5846623523848773,1092.7443836981765,Too Hot (Hot Zone),0.0925220646031273,Extreme Environment,15.139120513885059,Atmosphere Risk (Erosion),0.0,Not Habitable,0.925220646031273
593,Kepler-772 b,Kepler-772,Transit,2016,1.82,3.4335791196156418,12.99207337,0.1074321297056061,,885.662156100497,0.98,1.11,5714.0,0.07129675172749918,,1130.21,0.56955136271427,102.10062049309599,Too Hot (Hot Zone),0.2223471210648522,Extreme Environment,15.364295475495837,Atmosphere Risk (Erosion),0.0,Not Habitable,2.2234712106485217
594,Kepler-669 b,Kepler-669,Transit,2016,4.83,25.64077155347281,4.125546869,0.05274243147358461,,1388.7917024915807,1.15,1.2,6038.0,0.23482477681085281,,2063.41,0.2275567366980987,617.3116629678105,Too Hot (Hot Zone),0.07850148382071687,Extreme Environment,25.77310803903272,Atmosphere Risk (Erosion),0.0,Not Habitable,0.7850148382071687
595,NGTS-33 b,NGTS-33,Transit,2024,18.38272835,1153.71711741,2.827972,0.048,0.0,1991.0,1.6,1.47,7437.0,0.77159,,437.855,0.18572459832932423,2565.1190455587507,Too Hot (Hot Zone),0.03324896539230209,Extreme Environment,88.61750090230171,Atmosphere Likely,0.0,Not Habitable,0.33248965392302093
597,Kepler-1854 b,Kepler-1854,Transit,2021,2.58746104,7.087940572559072,39.83110046,0.2118937024268136,,458.6884478535451,0.8,0.759,5026.0,-0.4817366612155231,,423.348,0.409165125173708,7.345599397864588,Too Hot (Hot Zone),0.45493296130374394,Extreme Environment,18.513901089871368,Atmosphere Likely,0.0,Not Habitable,4.54932961303744
